Name,Meaning,Gender,Origin,Similar
Caraid,Friend,Female,Irish,-
Carey,Of the dark ones,Male,Irish,-
Carleen,Little and womanly,Female,Irish,-
Carlin,Little champion,Male,Irish,-
Carney,Victorious,Male,Irish,-
Carolan,Lttle and womanly,Female,Irish,-
Carraig,Rocky headland,Male,Irish,-
Carrick,Rocky headland,Male,Irish,-
Carroll,Song of joy,Female,Irish,-
Carroll,Champion,Male,Irish,-
Carthach,Loving,Male,Irish,-
Carthage,Loving,Male,Irish,-
Cary,Descendant of the dark one,Male,Irish,-
Case,Brave,Male,Irish,-
Casee,Brave,Female,Irish,-
Casey,Brave,Female,Irish,-
Casey,Brave,Male,Irish,-
Cashel,From Cashel,Male,Irish,-
Casidhe,Clever,Female,Irish,-
Cass,Clever or curly headed,Male,Irish,-
Cassian,Curly headed,Male,Irish,-
Cassidy,Clever or curly headed,Female,Irish,-
Cassidy,Clever or curly headed,Male,Irish,-
Cat,Pure,Female,Irish,-
Catelyn,Pure,Female,Irish,-
Cathal,Battle strong,Male,Irish,-
Cathaoir,Warrior,Male,Irish,-
Catharine,Pure,Female,Irish,-
Cathasach,Brave,Female,Irish,-
Cathleen,Pure,Female,Irish,-
Cathmor,Great fighter,Male,Irish,-
Cathmore,Great fighter,Male,Irish,-
Cathryn,Pure,Female,Irish,-
Catlee,Pure,Female,Irish,-
Catlin,Pure,Female,Irish,-
Catline,Pure,Female,Irish,-
Catlyn,Pure,Female,Irish,-
Catriona,Pure,Female,Irish,-
Cattee,Pure,Female,Irish,-
Cavan,Handsome,Male,Irish,-
Cavana,From Cavan,Female,Irish,-
Caycee,Brave,Female,Irish,-
Ceallach,Strife,Male,Irish,-
Ceallachan,Strife,Male,Irish,-
Cearbhall,Manly,Male,Irish,-
Cearnach,Victorious,Male,Irish,-
Cein,Archaic,Male,Irish,-
Ceire,Saint,Female,Irish,-
Celsus,Name of a saint,Male,Irish,-
Chann,Young wolf,Male,Irish,-
Channe,Young wolf,Male,Irish,-
Channing,Young wolf,Male,Irish,-
Channon,Young wolf,Male,Irish,-
Chrissa,Follower of Christ or anointed,Female,Irish,-
Chrissie,Follower of Christ or anointed,Female,Irish,-
Chrissy,Follower of Christ or anointed,Female,Irish,-
Christa,Follower of Christ or anointed,Female,Irish,-
Christi,Follower of Christ or anointed,Female,Irish,-
Christian,Follower of Christ or anointed,Female,Irish,-
Christie,Follower of Christ or anointed,Female,Irish,-
Christy,Follower of Christ or anointed,Female,Irish,-
Cian,Ancient,Male,Irish,-
Cianan,Ancient,Male,Irish,-
Ciannait,ancient,Female,Irish,-
Ciar,saint's name,Female,Irish,"Ciara, Cierra"
Ciara,Black like a raven,Female,Irish,-
Ciarrai,Black,Male,Irish,-
Ciatlllait,Archaic,Female,Irish,-
Cillian,Battle,Male,Irish,-
